Year,League,TeamIdAlt,FranchiseId,Division,Rank,Wins,Losses,Runs,HomeRuns,ERA,Name,Park,TeamId
1880,NL,CN1,CNR,,8,21,59,296,7,2.44,Cincinnati Reds,Bank Street Grounds,CIN
1880,NL,PRO,PRO,,2,52,32,419,8,1.64,Providence Grays,Messer Street Grounds,PRO
1880,NL,TRN,TRT,,4,41,42,392,5,2.74,Troy Trojans,Haymakers' Grounds,TRO
1880,NL,WOR,WOR,,5,40,43,412,8,2.27,Worcester Ruby Legs,Worcester Driving Park Grounds,WOR
1881,NL,BFN,BUF,,3,45,38,440,12,2.84,Buffalo Bisons,Riverside Park,BUF
1881,NL,BSN,ATL,,6,38,45,349,5,2.71,Boston Red Caps,South End Grounds I,BSN
1881,NL,CHN,CHC,,1,56,28,550,12,2.43,Chicago White Stockings,Lake Front Park I,CHC
1881,NL,CL2,CBL,,7,36,48,392,7,2.68,Cleveland Blues,Kennard Street Park,CLV
1881,NL,DTN,DTN,,4,41,43,439,17,2.65,Detroit Wolverines,Recreation Park,DTN
1881,NL,PRO,PRO,,2,47,37,447,11,2.4,Providence Grays,Messer Street Grounds,PRO
1881,NL,TRN,TRT,,5,39,45,399,5,2.97,Troy Trojans,Haymakers' Grounds,TRO
1881,NL,WOR,WOR,,8,32,50,410,7,3.54,Worcester Ruby Legs,Worcester Driving Park Grounds,WOR
1882,NL,BFN,BUF,,3,45,39,500,18,3.25,Buffalo Bisons,Riverside Park,BUF
1882,AA,BL2,BLO,,6,19,54,273,4,3.87,Baltimore Orioles,Newington Park,BAL
1882,NL,BSN,ATL,,3,45,39,472,15,2.8,Boston Red Caps,South End Grounds I,BSN
1882,NL,CHN,CHC,,1,55,29,604,15,2.22,Chicago White Stockings,Lake Front Park I/Lake Front Park II,CHC
1882,NL,CL2,CBL,,5,42,40,402,20,2.74,Cleveland Blues,Kennard Street Park,CLV
1882,AA,CN2,CIN,,1,55,25,489,5,1.65,Cincinnati Red Stockings,Bank Street Grounds,CIN
1882,NL,DTN,DTN,,5,42,41,407,19,2.98,Detroit Wolverines,Recreation Park,DTN
1882,AA,LS2,LOU,,2,42,38,443,9,2.03,Louisville Eclipse,Eclipse Park I,LOU
1882,AA,PH4,PHA,,3,41,34,406,5,2.97,Philadelphia Athletics,Oakdale Park,PHA
1882,NL,PRO,PRO,,2,52,32,463,11,2.27,Providence Grays,Messer Street Grounds,PRO
1882,AA,PT1,PIT,,4,39,39,428,18,2.79,Pittsburg Alleghenys,Exposition Park I,PIT
1882,AA,SL4,STL,,5,37,43,399,11,2.92,St. Louis Brown Stockings,Sportsman's Park I,STL
1882,NL,TRN,TRT,,7,35,48,430,12,3.08,Troy Trojans,Troy Ball Club Grounds,TRO
1882,NL,WOR,WOR,,8,18,66,379,16,3.76,Worcester Ruby Legs,Worcester Driving Park Grounds,WOR
1883,NL,BFN,BUF,,5,52,45,614,8,3.32,Buffalo Bisons,Riverside Park,BUF
1883,AA,BL2,BLO,,8,28,68,471,5,4.08,Baltimore Orioles,Oriole Park,BAL
1883,NL,BSN,ATL,,1,63,35,669,34,2.55,Boston Beaneaters,South End Grounds I,BSN
1883,NL,CHN,CHC,,2,59,39,679,13,2.78,Chicago White Stockings,Lake Front Park II,CHC
1883,NL,CL2,CBL,,4,55,42,476,8,2.22,Cleveland Blues,Kennard Street Park,CLV
1883,AA,CL5,CBK,,6,32,65,476,15,3.96,Columbus Buckeyes,Recreation Park I,COL
1883,AA,CN2,CIN,,3,61,37,662,34,2.26,Cincinnati Red Stockings,Bank Street Grounds,CIN
1883,NL,DTN,DTN,,7,40,58,524,13,3.58,Detroit Wolverines,Recreation Park,DTN
1883,AA,LS2,LOU,,5,52,45,564,14,3.51,Louisville Eclipse,Eclipse Park I,LOU
1883,NL,NY1,SFG,,6,46,50,530,24,2.94,New York Gothams,Polo Grounds I,NYG
1883,AA,NY4,NYP,,4,54,42,498,6,2.9,New York Metropolitans,Polo Grounds I West Diamond,NYP
1883,AA,PH4,PHA,,1,66,32,720,20,2.88,Philadelphia Athletics,Jefferson Street Grounds,PHA
1883,NL,PHI,PHI,,8,17,81,437,3,5.34,Philadelphia Quakers,Recreation Park,PHI
1883,NL,PRO,PRO,,3,58,40,636,21,2.37,Providence Grays,Messer Street Grounds,PRO
1883,AA,PT1,PIT,,7,31,67,525,13,4.62,Pittsburg Alleghenys,Exposition Park I,PIT
1883,AA,SL4,STL,,2,65,33,549,7,2.23,St. Louis Browns,Sportsman's Park I,STL
1884,UA,ALT,ALT,,10,6,19,90,2,4.68,Altoona Mountain City,,ALT
1884,NL,BFN,BUF,,3,64,47,700,39,2.95,Buffalo Bisons,Olympic Park I,BUF
1884,AA,BL2,BLO,,6,63,43,636,32,2.71,Baltimore Orioles,Oriole Park,BAL
1884,UA,BLU,BLU,,4,58,47,662,17,3.01,Baltimore Monumentals,,BLU
1884,AA,BR3,LAD,,9,40,64,476,16,3.79,Brooklyn Atlantics,Washington Park I,BRO
1884,NL,BSN,ATL,,2,73,38,684,36,2.47,Boston Beaneaters,South End Grounds I,BSN
1884,UA,BSU,BRD,,5,58,51,636,19,2.7,Boston Reds,,BOS
1884,NL,CHN,CHC,,5,62,50,834,142,3.03,Chicago White Stockings,Lake Front Park II,CHC
1884,UA,CHU,CPI,,6,41,50,438,10,2.72,Chicago/Pittsburgh (Union League),,CPI
1884,NL,CL2,CBL,,7,35,77,458,16,3.43,Cleveland Blues,Kennard Street Park,CLV
1884,AA,CL5,CBK,,2,69,39,585,40,2.68,Columbus Buckeyes,Recreation Park I,COL
1884,AA,CN2,CIN,,5,68,41,754,36,3.33,Cincinnati Red Stockings,League Park I in Cincinnati,CIN
1884,UA,CNU,COR,,3,69,36,703,26,2.38,Cincinnati Outlaw Reds,,COR
